sigmoid_offset,sigmoid_rate,alpha_decay,gamma,score
2.000000,0.000100,0.100000,0.100000,0.8333
2.000000,0.000100,0.100000,0.500000,1.0000
2.000000,0.000100,0.100000,0.900000,0.9667
2.000000,0.000100,0.100000,1.300000,0.9333
2.000000,0.000100,0.500000,0.100000,0.9667
2.000000,0.000100,0.500000,0.500000,0.9333
2.000000,0.000100,0.500000,0.900000,0.9000
2.000000,0.000100,0.500000,1.300000,0.9667
2.000000,0.000100,0.900000,0.100000,1.0000
2.000000,0.000100,0.900000,0.500000,1.0000
2.000000,0.000100,0.900000,0.900000,0.9667
2.000000,0.000100,0.900000,1.300000,1.0000
2.000000,0.000100,1.300000,0.100000,0.9667
2.000000,0.000100,1.300000,0.500000,1.0000
2.000000,0.000100,1.300000,0.900000,0.9667
2.000000,0.000100,1.300000,1.300000,0.9000
2.000000,0.001000,0.100000,0.100000,1.0000
2.000000,0.001000,0.100000,0.500000,0.9667
2.000000,0.001000,0.100000,0.900000,0.9000
2.000000,0.001000,0.100000,1.300000,0.9667
2.000000,0.001000,0.500000,0.100000,0.9333
2.000000,0.001000,0.500000,0.500000,1.0000
2.000000,0.001000,0.500000,0.900000,0.9667
2.000000,0.001000,0.500000,1.300000,1.0000
2.000000,0.001000,0.900000,0.100000,1.0000
2.000000,0.001000,0.900000,0.500000,1.0000
2.000000,0.001000,0.900000,0.900000,1.0000
2.000000,0.001000,0.900000,1.300000,1.0000
2.000000,0.001000,1.300000,0.100000,1.0000
2.000000,0.001000,1.300000,0.500000,1.0000
2.000000,0.001000,1.300000,0.900000,1.0000
2.000000,0.001000,1.300000,1.300000,1.0000
2.000000,0.010000,0.100000,0.100000,1.0000
2.000000,0.010000,0.100000,0.500000,1.0000
2.000000,0.010000,0.100000,0.900000,1.0000
2.000000,0.010000,0.100000,1.300000,0.8667
2.000000,0.010000,0.500000,0.100000,0.9333
2.000000,0.010000,0.500000,0.500000,0.9667
2.000000,0.010000,0.500000,0.900000,0.9333
2.000000,0.010000,0.500000,1.300000,0.9667
2.000000,0.010000,0.900000,0.100000,1.0000
2.000000,0.010000,0.900000,0.500000,1.0000
2.000000,0.010000,0.900000,0.900000,1.0000
2.000000,0.010000,0.900000,1.300000,1.0000
2.000000,0.010000,1.300000,0.100000,1.0000
2.000000,0.010000,1.300000,0.500000,0.9667
2.000000,0.010000,1.300000,0.900000,0.9667
2.000000,0.010000,1.300000,1.300000,0.9333
2.000000,0.100000,0.100000,0.100000,1.0000
2.000000,0.100000,0.100000,0.500000,0.9333
2.000000,0.100000,0.100000,0.900000,0.9333
2.000000,0.100000,0.100000,1.300000,0.9333
2.000000,0.100000,0.500000,0.100000,0.9000
2.000000,0.100000,0.500000,0.500000,1.0000
2.000000,0.100000,0.500000,0.900000,1.0000
2.000000,0.100000,0.500000,1.300000,0.9667
2.000000,0.100000,0.900000,0.100000,0.9667
2.000000,0.100000,0.900000,0.500000,0.9000
2.000000,0.100000,0.900000,0.900000,1.0000
